place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
10,3,2,0.0,2021,12.0,7.0,1.0,2.0,6,2.0,1.0,1.0,30.0,13,6,1,94,94022,2,9,0.0,6.0,48.75424,2.41378,19,2,1
1,1,1,8.0,2021,43.0,7.0,2.0,1.0,3,2.0,1.0,1.0,80.0,17,7,3,31,31568,1,1,0.0,1.0,43.4744995403,1.6923558712,2,2,2
2,2,1,1.0,2021,46.0,7.0,2.0,1.0,1,1.0,1.0,1.0,90.0,11,10,1,94,94017,1,1,0.0,2.0,48.830054266,2.4955528834,16,3,2
5,2,1,1.0,2021,18.0,7.0,0.0,1.0,2,3.0,1.0,1.0,90.0,12,3,1,50,50203,1,1,0.0,6.0,49.59391,-1.59553,18,5,1
1,1,1,1.0,2021,66.0,7.0,0.0,1.0,3,2.0,1.0,8.0,80.0,28,2,2,80,80315,1,1,0.0,7.0,49.7341839182,2.2547642217,18,1,1
1,1,1,1.0,2021,60.0,7.0,2.0,1.0,4,2.0,1.0,1.0,80.0,1,6,1,202,202143,1,1,0.0,3.0,42.227902,9.526944,19,2,2
1,1,2,8.0,2021,20.0,50.0,1.0,3.0,4,1.0,1.0,1.0,50.0,27,1,1,14,14118,2,1,0.0,6.0,49.18453,-0.35625,13,2,1
1,1,1,2.0,2021,61.0,43.0,2.0,1.0,4,2.0,1.0,1.0,50.0,26,2,1,6,6085,2,1,0.0,3.0,43.602459,6.986414,15,2,2
10,3,1,0.0,2021,71.0,7.0,1.0,1.0,7,2.0,1.0,1.0,50.0,23,11,1,59,59648,2,1,0.0,7.0,50.59886,3.05271,8,2,1
1,1,1,2.0,2021,17.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,16,9,1,91,91433,1,1,0.0,2.0,48.40671,2.21237,8,2,2
1,1,2,1.0,2021,25.0,7.0,2.0,1.0,1,3.0,1.0,1.0,110.0,30,9,3,92,92050,1,1,0.0,2.0,48.9047425947,2.2079595923,1,3,2
1,1,1,1.0,2021,32.0,7.0,0.0,1.0,3,2.0,1.0,3.0,80.0,15,1,1,85,85129,1,1,0.0,6.0,46.853606,-1.495959,12,2,1
10,3,2,0.0,2021,16.0,7.0,1.0,1.0,3,2.0,1.0,1.0,50.0,11,9,5,201,201004,2,9,0.0,7.0,41.9145080187,8.7295945278,23,2,1
2,2,1,1.0,2021,25.0,7.0,2.0,1.0,1,1.0,1.0,1.0,90.0,3,11,1,13,13056,1,1,0.0,3.0,43.39404,5.05355,8,3,2
10,3,1,0.0,2021,26.0,7.0,1.0,1.0,3,2.0,1.0,1.0,50.0,24,8,1,93,93074,2,2,1.0,6.0,48.93,2.574,13,2,1
1,1,2,1.0,2021,39.0,7.0,2.0,1.0,3,2.0,1.0,1.0,80.0,13,10,2,60,60558,1,1,1.0,6.0,49.586629,2.768238,7,2,2
4,2,1,1.0,2021,71.0,7.0,2.0,1.0,1,1.0,1.0,1.0,70.0,12,8,1,67,67115,1,1,0.0,4.0,48.309488,7.47654,13,13,7
1,1,1,2.0,2021,26.0,33.0,2.0,1.0,3,2.0,2.0,1.0,70.0,23,2,1,85,85234,1,3,0.0,1.0,46.770512,-2.005633,9,2,2
1,1,1,1.0,2021,34.0,7.0,2.0,1.0,7,2.0,1.0,1.0,50.0,17,11,2,63,63164,2,1,0.0,4.0,45.82252,3.13895,17,3,3
5,2,1,3.0,2021,4.0,7.0,2.0,1.0,1,3.0,1.0,1.0,90.0,11,7,1,33,33192,1,1,0.0,2.0,44.78762,-0.59954,18,7,2
7,2,2,1.0,2021,20.0,7.0,0.0,1.0,3,2.0,2.0,3.0,80.0,11,4,2,6,6095,1,1,0.0,7.0,43.648177,6.886346,7,3,1
1,1,1,2.0,2021,19.0,30.0,0.0,1.0,4,2.0,1.0,1.0,50.0,6,1,3,6,6069,2,1,0.0,7.0,43.64282,6.91412,22,1,1
1,1,2,8.0,2021,24.0,50.0,2.0,3.0,6,2.0,1.0,5.0,50.0,8,12,1,37,37261,2,1,0.0,3.0,47.3831324457,0.6682991982,12,2,2
1,1,2,1.0,2021,22.0,7.0,2.0,1.0,3,3.0,1.0,1.0,50.0,8,4,1,50,50129,2,2,0.0,2.0,49.64199,-1.63688,16,2,2
10,3,2,0.0,2021,69.0,80.0,1.0,3.0,4,2.0,1.0,1.0,50.0,8,9,1,83,83062,2,1,0.0,6.0,43.123926,6.006346,15,2,1
1,1,1,2.0,2021,62.0,80.0,0.0,3.0,9,2.0,2.0,6.0,30.0,13,12,1,49,49007,2,1,0.0,7.0,47.49608,-0.54908,13,1,1
1,1,1,1.0,2021,54.0,7.0,2.0,1.0,1,3.0,1.0,1.0,70.0,27,3,1,95,95424,1,1,0.0,2.0,48.99076,2.19376,19,2,2
1,1,1,2.0,2021,61.0,36.0,0.0,1.0,4,2.0,2.0,1.0,80.0,14,11,1,41,41116,1,3,1.0,7.0,47.856291,1.108578,11,1,1
10,3,2,0.0,2021,2.0,7.0,1.0,1.0,2,2.0,1.0,1.0,50.0,17,5,1,973,97311,2,1,0.0,6.0,5.493384,-54.015784,7,3,1
1,1,2,1.0,2021,48.0,7.0,2.0,1.0,4,2.0,1.0,1.0,50.0,17,5,1,13,13212,2,1,0.0,2.0,43.300538,5.430795,11,2,2
1,1,2,1.0,2021,30.0,7.0,2.0,1.0,4,2.0,1.0,1.0,50.0,20,7,1,69,69259,2,2,0.0,2.0,45.7193539752,4.8547768593,18,2,2
1,1,1,1.0,2021,60.0,7.0,0.0,1.0,3,2.0,1.0,3.0,80.0,31,1,1,66,66114,1,1,0.0,6.0,42.606421,2.917278,9,1,1
1,1,1,2.0,2021,41.0,2.0,2.0,1.0,4,2.0,1.0,1.0,30.0,4,10,1,75,75107,2,7,0.0,1.0,48.851164,2.300995,9,2,2
1,1,2,8.0,2021,51.0,7.0,2.0,1.0,4,3.0,1.0,1.0,50.0,5,3,1,37,37050,2,1,0.0,2.0,47.3448394682,0.7019836145,14,2,2
10,3,2,0.0,2021,33.0,7.0,1.0,1.0,4,2.0,1.0,1.0,30.0,23,3,1,87,87048,2,1,0.0,6.0,45.79105,1.23425,8,2,1
1,1,1,1.0,2021,23.0,7.0,2.0,1.0,1,1.0,1.0,5.0,130.0,15,8,3,85,85246,1,1,0.0,2.0,46.737308,-1.159257,3,4,2
9,2,2,1.0,2021,4.0,7.0,0.0,1.0,3,2.0,1.0,1.0,80.0,30,5,1,72,72230,1,2,0.0,3.0,47.845199,0.129797,17,6,2
10,3,2,0.0,2021,18.0,7.0,1.0,1.0,3,1.0,1.0,1.0,50.0,4,5,1,92,92064,2,1,0.0,6.0,48.8465083768,2.2140784727,16,2,1
2,2,1,1.0,2021,0.0,7.0,2.0,1.0,1,1.0,1.0,1.0,50.0,2,8,1,94,94022,1,1,0.0,4.0,48.7733811508,2.4011395508,18,4,3
1,1,1,2.0,2021,21.0,2.0,2.0,3.0,4,2.0,1.0,1.0,50.0,19,3,5,63,63113,2,2,0.0,3.0,45.79271,3.11385,22,2,2
10,3,1,0.0,2021,66.0,7.0,1.0,1.0,4,2.0,2.0,1.0,50.0,29,12,2,39,39198,2,1,1.0,6.0,47.090394,5.483057,17,2,1
1,1,1,2.0,2021,12.0,50.0,0.0,3.0,4,2.0,1.0,5.0,30.0,21,12,1,75,75107,2,1,0.0,7.0,48.862846,2.312381,14,1,1
2,2,2,2.0,2021,17.0,30.0,2.0,1.0,3,2.0,2.0,1.0,50.0,27,12,5,6,6079,2,6,0.0,3.0,43.549108,6.942426,19,3,2
1,1,1,2.0,2021,16.0,2.0,2.0,1.0,4,1.0,1.0,1.0,30.0,27,10,1,54,54395,2,1,0.0,2.0,48.68606,6.18291,13,2,2
1,1,1,1.0,2021,69.0,7.0,9.0,1.0,3,2.0,1.0,1.0,80.0,25,3,1,52,52354,1,1,0.0,6.0,47.788191,5.362723,15,3,2
2,2,2,1.0,2021,26.0,7.0,0.0,1.0,1,3.0,1.0,1.0,130.0,24,7,1,21,21272,1,1,0.0,2.0,47.435044,4.307212,9,8,2
2,2,1,2.0,2021,17.0,33.0,2.0,1.0,3,2.0,1.0,1.0,80.0,29,5,1,30,30094,1,1,0.0,3.0,44.072201,3.955615,17,3,2
1,1,2,2.0,2021,58.0,32.0,0.0,3.0,3,1.0,1.0,1.0,50.0,12,7,1,92,92049,2,1,0.0,7.0,48.81792,2.32546,17,1,1
