Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,circ,nbv,vosp,prof,pr,pr1,plan,larrout,surf,infra,situ,vma,id_vehicule_x,num_veh_x,senc,catv,obs,obsm,choc,manv,motor,id_usager,id_vehicule_y,num_veh_y,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp
202400000001,25,3,2024,07:40,2,70,70285,1,1,5,1,D438,47.56277,6.75832,3,D438,0,2,2,0,1,1,260,2,7.0,1,0,1,90,155 781 758,A01,1,7,0,2,1,13,1,203 988 581,155 781 758,A01,1,1,3,1,2003.0,2,1,-1,-1,-1, -1,-1
202400000001,25,3,2024,07:40,2,70,70285,1,1,5,1,D438,47.56277,6.75832,3,D438,0,2,2,0,1,1,260,2,7.0,1,0,1,90,155 781 758,A01,1,7,0,2,1,13,1,203 988 582,155 781 759,B01,1,1,1,1,1997.0,4,1,-1,-1,-1, -1,-1
202400000001,25,3,2024,07:40,2,70,70285,1,1,5,1,D438,47.56277,6.75832,3,D438,0,2,2,0,1,1,260,2,7.0,1,0,1,90,155 781 759,B01,2,14,0,2,2,21,1,203 988 581,155 781 758,A01,1,1,3,1,2003.0,2,1,-1,-1,-1, -1,-1
202400000001,25,3,2024,07:40,2,70,70285,1,1,5,1,D438,47.56277,6.75832,3,D438,0,2,2,0,1,1,260,2,7.0,1,0,1,90,155 781 759,B01,2,14,0,2,2,21,1,203 988 582,155 781 759,B01,1,1,1,1,1997.0,4,1,-1,-1,-1, -1,-1
202400000002,20,3,2024,15:05,1,21,21054,2,3,7,6,HOTEL DIEU (RUE DE L'),47.02109,4.83755,4,HOTEL DIEU (RUE DE L'),0,2,2,0,1,-1, -1,1,-1.0,9,0,1,30,155 781 757,A01,1,10,0,1,3,15,1,203 988 579,155 781 757,A01,10,3,3,2,1927.0,5,0,-1,-1,3,3,1
202400000002,20,3,2024,15:05,1,21,21054,2,3,7,6,HOTEL DIEU (RUE DE L'),47.02109,4.83755,4,HOTEL DIEU (RUE DE L'),0,2,2,0,1,-1, -1,1,-1.0,9,0,1,30,155 781 757,A01,1,10,0,1,3,15,1,203 988 580,155 781 757,A01,1,1,1,1,1987.0,4,1,0,-1,3,3,1
202400000002,20,3,2024,15:05,1,21,21054,2,3,7,6,HOTEL DIEU (RUE DE L'),47.02109,4.83755,4,POTERNE (RUE),0,1,1,0,1,-1, -1,1,-1.0,9,0,1,30,155 781 757,A01,1,10,0,1,3,15,1,203 988 579,155 781 757,A01,10,3,3,2,1927.0,5,0,-1,-1,3,3,1
202400000002,20,3,2024,15:05,1,21,21054,2,3,7,6,HOTEL DIEU (RUE DE L'),47.02109,4.83755,4,POTERNE (RUE),0,1,1,0,1,-1, -1,1,-1.0,9,0,1,30,155 781 757,A01,1,10,0,1,3,15,1,203 988 580,155 781 757,A01,1,1,1,1,1987.0,4,1,0,-1,3,3,1
202400000003,22,3,2024,19:30,2,15,15012,1,1,1,6,Allée des Tilleuls,44.902384,2.496418,4,TILLEULS (ALLEE DES),0,2,2,0,1,-1, -1,1,-1.0,1,0,3,50,155 781 756,A01,3,3,9,1,1,1,1,203 988 574,155 781 756,A01,2,2,4,2,2007.0,5,8,0,-1,-1, -1,-1
202400000003,22,3,2024,19:30,2,15,15012,1,1,1,6,Allée des Tilleuls,44.902384,2.496418,4,TILLEULS (ALLEE DES),0,2,2,0,1,-1, -1,1,-1.0,1,0,3,50,155 781 756,A01,3,3,9,1,1,1,1,203 988 575,155 781 756,A01,10,3,4,1,2007.0,5,0,-1,-1,6,B,3
